1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
Disenchant,BRB,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
Disenchant,CST,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
Disenchant,IA,"« Je vous implore de ne pas oublier les horreurs du passé. Vous nous feriez recommencer la Guerre des Frères. »
—Sorine Reliclaste, hérétique soldevi.",,
Disenchant,ME2,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
Disenchant,MI,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
Disenchant,MM,"Dans une main trop dure, le sceptre de la force est fragile.
—Dicton cho-arrim.",,
Disenchant,REW,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
Disenchant,S2,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
Disenchant,TE,"L'essaim ne sembla être affecté en rien par la destruction des slivoïdes artificiels. « Ce ne sont donc pas leurs chefs », grogna Hanna. Nous ne sommes pas sortis de l'auberge.",,
Disenchant,TPR,"Il y a des façons plus cruelles d'apprendre le sens du mot « non ».
—Rashida la désquamatrice.",,
Disenchant,US,"« Laissez Phyrexia semer le mal dans les ténèbres ; ma sinte lumière révélera sa corruption. »
—Serra",,
Disentomb,M10,"« Cesse de te plaindre. Tu te reposeras quand tu seras mort. Oh — désolée. »
—Liliana Vess",,
Disentomb,M11,Les armées des morts ne jouissent pas du repos éternel.,,
Disentomb,M12,"« Cesse de te plaindre. Tu te reposeras quand tu seras mort. Oh — désolée. »
—Liliana Vess",,
Disentomb,M13,"« J'ai si souvent affaire aux cadavres en putréfaction que lorsque je tombe sur un corps frais...ma foi, c'est comme un anniversaire avant l'heure. »
—Nevinyrral, nécromancien",,
Disfigure,ZEN,« Cicatrice de bravoure ou récit malheureux ? Tout dépend de votre seuil de douleur. »,,
Dismal Failure,PLC,"« Deux magiciens peuvent échanger des sorts toute la journée sans qu'il y ait de vainqueur. En réalité, ce n'est pas un affrontement de pouvoirs, mais un duel de volontés. Quand vous perdez confiance, vous êtes perdu. »
—Venser",,
Dismantle,DS,"« Si seulement les vivants pouvaient être recyclés aussi facilement. »
—Memnarch",,
Dismember,FNM,"« Tu sers Phyrexia. Tes fragments le serviront mieux autre part. »
—Azax-Azog, thane démon",,
Dismember,MD1,"« Tu sers Phyrexia. Tes fragments le serviront mieux autre part. »
—Azax-Azog, thane démon",,
Dismember,MM2,"« Tu sers Phyrexia. Tes fragments le serviront mieux autre part. »
—Azax-Azog, thane démon",,
Dismember,NPH,"« Tu sers Phyrexia. Tes fragments le serviront mieux autre part. »
—Azax-Azog, thane démon",,
Dismiss,ARE,"« Il n'y a rien que vous ne puissiez faire que je ne peux défaire. »
—Ertai, sorcier expert",,
Dismiss,C13,"« Il n'y a rien que vous ne puissiez faire que je ne peux défaire. »
—Ertai, sorcier expert",,
Dismiss,C14,"« Il n'y a rien que vous ne puissiez faire que je ne peux défaire. »
—Ertai, sorcier expert",,
Dismiss,TE,"Il n'y a rien que tu fasses que je ne puisse tout simplement refuser.
—Ertaï, expert sorcier.",,
Dismiss,TPR,"« Il n'y a rien que vous ne puissiez faire que je ne peux défaire. »
—Ertai, sorcier expert",,
Dismiss into Dream,M14,"« Tu as placé ta confiance dans l'ombre d'un souffle. »
—Noyan Dar, ataraxmage de Tazeem",,
Disorder,7E,"« Le feu les blesse presque autant que le chaos. Presque. »
—Le Paladin de l'Ouest.",,
Disorder,US,"« Alors, juste au moment où les aut's gars, allaient nous écraser, le ciel s'mit à vomir. »
—Djula, pillarde gobline.",,
Disorient,M10,"« Tant qu'il a un cerveau, aussi primitif soit-il, nous pourrons le brouiller. »
—Garild, mage ondin",,
Disowned Ancestor,KTK,Les esprits des Désavoués cherchent par delà la mort à obtenir la rédemption parmi leurs semblables abzans.,,
Dispatch,MM2,Venser se demandait si on pouvait toujours parler d'un sort de téléportation quand la destination était le néant.,,
Dispatch,NPH,Venser se demandait si on pouvait toujours parler d'un sort de téléportation quand la destination était le néant.,,
Dispel,BFZ,"« J'ai dit qu'il fallait détruire les Eldrazi. Ugin voulait les renvoyer en stase. Ses arguments n'étaient...pas très convaincants. »
—Jace Beleren",,
Dispel,RTR,"« Si nous ne la submergeons pas les premiers, la civilisation nous absorbera. »
—Oratrice Zegana",,
Dispel,WWK,Les vents de Jwar dispersent la réalité avec la même facilité qu'un tas de feuilles mortes.,,
Dispeller's Capsule,ALA,"« Je trouve sa symétrie agréable. Elle élimine les impuretés choquantes de notre monde tout en se débarrassant d'elle-même. »
—Dolomarus, questeur de la Pureté",,
Dispeller's Capsule,MMA,"« Je trouve sa symétrie agréable. Elle élimine les impuretés choquantes de notre monde tout en se débarrassant d'elle-même. »
—Dolomarus, questeur de la Pureté",,
Dispense Justice,SOM,"Les Accordeurs ne frappent jamais les premiers, mais ils ripostent toujours.",,
Dispersal Shield,SC,"« Une autre fois, peut-être. »",,
Disperse,M14,"Gryffid rentra chez lui et reprit le cours de son existence, cachant du mieux possible la phobie nouvelle qui l'habitait : la peur des nuages.",,
Disperse,MOR,"Gryffid jeta un regard mauvais au ciel. Une journée de chasse parfaite, gâchée par d'horrible nuages. Il souhaita leur disparition. Dans le ciel, les nuages lui lancèrent un regard mauvais à leur tour, et firent un souhait similaire.",,
Disperse,ORI,Se retenir devient futile quand vous n'avez plus rien pour vous retenir.,,
Disperse,SOM,La plupart des victimes de la lutte de pouvoir entre les vedalkens et les Neuroks ne tombèrent pas sur le champ de bataille ; elles disparurent simplement.,,
Disperse,W16,"Gryffid rentra chez lui et reprit le cours de son existence, cachant du mieux possible la phobie nouvelle qui l'habitait : la peur des nuages.",,
Dispersing Orb,ON,"« L'Æther est comme l'océan, capricieux et changeant. Si nous contrôlons l'un, nous pouvons maîtriser l'autre. »
—Le directeur du projet Jusant",,
Displacement Wave,ORI,"La mer ne respecte pas les frontières, et encore moins la côte.",,
Disrupt,IN,Téfeiri ne voulait pas prendre part au plan d'Urza mais tout deux savaient que le portail de Phyrexia devait être refermé.,,
Disrupt,WL,"Oh, désolé ! J'ai perturbé ta concentration ?",,
Disrupting Scepter,8E,"« Être véritablement puissant, c'est contrôler le cœur de ses sujets, mais aussi leurs esprits. »",,
Disrupting Scepter,9E,"« Être véritablement puissant, c'est contrôler le cœur de ses sujets, mais aussi leurs esprits. »",,
Disruption Aura,FD,Les armes que les vedalkens vendent aux étrangers sont aussi fiables que les vedalkens eux-mêmes.,,
Disruptive Pitmage,ON,« Montrez votre faiblesse pour cacher votre force. »,,
Disruptive Student,BR,"« Téfeiri est un élève à problème, toujours en retard aux cours. Il n'est pas très constructif dans sa manière de gérer le temps. »
—Barrin, extrait du sonseil de classe.",,
Disruptive Student,BRB,"« Téfeiri est un élève à problème, toujours en retard aux cours. Il n'est pas très constructif dans sa manière de gérer le temps. »
—Barrin, extrait du sonseil de classe.",,
Disruptive Student,US,"« Téfeiri est un élève à problème, toujours en retard aux cours. Il n'est pas très constructif dans sa manière de gérer le temps. »
—Barrin, extrait du sonseil de classe.",,
Dissension in the Ranks,SOI,"« C'est arrivé en un rien de temps. Des cathares qui avaient combattus côte à côte se sautaient à la gorge. Ils n'étaient plus eux-mêmes. »
—Halmig, Ordre de Saint Traft",,
Dissipate,DDJ,"« Cette abomination n'a jamais eu sa place sur notre monde. Je ne fais que la libérer. »
—Dierk, geistmage",,
Dissipate,ISD,"« Cette abomination n'a jamais eu sa place sur notre monde. Je ne fais que la libérer. »
—Dierk, geistmage",,
Dissipate,IVG,"« Cette abomination n'a jamais eu sa place sur notre monde. Je ne fais que la libérer. »
—Dierk, geistmage",,
Dissipate,M15,"« Cette abomination n'a jamais eu sa place sur notre monde. Je ne fais que la libérer. »
—Dierk, geistmage",,
Dissipate,MI,"« Si vous n'êtes pas né avec, vous n'en avez pas besoin. »
—Grahilah, ancien commerçant d'Amikat.",,
Dissipation Field,SOM,"« Je te laisse le premier coup...Vise bien, parce que ce sera aussi ton dernier. »
—Kara Vrist, agent neurok",,
Dissolve,FNM,« Je croyais que seuls les dieux pouvaient t'arrêter ? »,,
Dissolve,THS,« Je croyais que seuls les dieux pouvaient t'arrêter ? »,,
Distant Melody,H09,"Le chant d'Oona invite au dîner. Toutes les færies rentrent au bercail, mais c'est Oona qui festoie des rêves et des rumeurs qu'elles lui rapportent.",,
Distant Melody,MOR,"Le chant d'Oona invite au dîner. Toutes les færies rentrent au bercail, mais c'est Oona qui festoie des rêves et des rumeurs qu'elles lui rapportent.",,
Distant Melody,SLI,"Le chant d'Oona invite au dîner. Toutes les færies rentrent au bercail, mais c'est Oona qui festoie des rêves et des rumeurs qu'elles lui rapportent.",,
Distant Memories,MBS,"« Les ombres fugaces de son esprit primitif ont quasiment disparu. »
—Jin-Gitaxias, augure du Noyau",,
Distorting Lens,8E,"« Chacun a ses lunettes ; mais personne ne sait au juste de quelle couleur en sont les verres. »
—Alfred de Musset, Fantasio",,
Distorting Lens,MM,Le Magistra se complaisait dans une vision distordue de la réalité.,,
Distorting Wake,C14,Gerrard eut un sourire sinistre quand les portails phyrexians disparurent derrière l'Aquilon.,,
Distorting Wake,IN,Gerrard eut un sourire sinistre quand les portails phyrexians disparurent derrière l'Aquilon.,,
Distract,SOR,"« Certains appellent cela un coup de chance. J'appelle ça la maîtrise. »
—Drake Stone",,
Distress,10E,"« On dit que les yeux sont le miroir de l'âme. Autant le briser pour prendre ce qui se trouve derrière. »
—Nattes, invocatrice de démences",,
Distress,CHK,"« Aujourd'hui, j'ai demandé à Maître Dosan ce que les mages ogres faisaient aux humains qu'ils sacrifiaient. Il m'a lancé un regard dur, puis m'a dit de ne plus jamais y penser. »
—Journal de méditation d'un jeune budoka",,
Distress,M12,« Bien sûr que je suis certain d'être devenu fou. Le petit bonhomme qui est sorti de mon œil a été très clair à ce sujet. »,,
Dive Bomber,ON,« Là ou je tombe sera votre tombe. »,,
Divebomber Griffin,RAV,La justice a des ailes vengeresses.,,
Divergent Growth,SC,La nature a oublié ses propres règles.,,
Diversionary Tactics,AP,"« Ce truc est vieux comme le monde », dit Guff. « Et c'est moi qui l'ai inventé. »",,
Divert,OD,« À quoi bon être sorcier si on ne peut pas jouer avec l'esprit des gens ? »,,
Divination,BNG,« Demandez à Kéranos de pouvoir comprendre les étoiles qui marquent votre destinée. Implorez Érébos de pouvoir accepter le destin qui vous a été révélé. »,,
Divination,DKA,"Même la Maison de Galan, avec son approche érudite des traditions mystiques, a fini par explorer des méthodes plus primitives en l'absence d'Avacyn.",,
Divination,M10,"« La clé qui te permettra de résoudre ce mystère est en toi. »
—Doriel, mentor de l'Île de Mistral",,
Divination,M12,"« La clé qui te permettra de résoudre ce mystère est en toi. »
—Doriel, mentor de l'Île de Mistral",,
Divination,M13,"« La clé qui te permettra de résoudre ce mystère est en toi. »
—Doriel, mentor de l'Île de Mistral",,
Divination,M14,"« La clé qui te permettra de résoudre ce mystère est en toi. »
—Doriel, mentor de l'Île de Mistral",,
Divination,M15,"« La clé qui te permettra de résoudre ce mystère est en toi. »
—Doriel, mentor de l'Île de Mistral",,
Divine Favor,M12,"Avec l'armurerie de la lumière, même une écuyère peut devenir la championne de son peuple.",,
Divine Favor,M13,"Avec l'armurerie de la lumière, même une écuyère peut devenir la championne de son peuple.",,
Divine Favor,M14,"Avec l'armurerie de la lumière, même une écuyère peut devenir la championne de son peuple.",,
Divine Favor,M15,"Avec l'armurerie de la lumière, même une écuyère peut devenir la championne de son peuple.",,
Divine Light,AP,"« Phyrexia ne pardonne jamais. Et moi je ne pardonne pas quand je suis en colère. »
—Seigneur Vent des vertus.",,
Divine Offering,5E,"« Prenez sur ce qui vous appartient une offrande pour l'Éternel. Tout homme dont le cœur est bien disposé apportera en offrande à l'Éternel : de l'or, de l'argent et de l'airain (...) »
—La Bible, Exode, 35 : 5.",,
Divine Offering,CH,"« Les Phyrexians sont vulnérables. Ne désespérez pas. Nous vaincrons ! »
—Juryan, chef des rebelles",,
Divine Offering,LG,"« Les Phyrexians sont vulnérables. Ne désespérez pas. Nous vaincrons ! »
—Juryan, chef des rebelles",,
Divine Offering,MBS,"« Les Phyrexians sont vulnérables. Ne désespérez pas. Nous vaincrons ! »
—Juryan, chef des rebelles",,
Divine Offering,MI,"« Les Souk'Atas croient au commerce, les Fémeirefs en la charité, les Zhalfirins en l'acier. Sois prévenu, Kærvek - nous avons joint nos force. »
—Sidar Djabari.",,
Divine Presence,IN,"« La lumière de Serra ne s'éteint pas facilement. »
—Reya Aubevenant.",,
Divine Reckoning,ISD,La loi du plus pur.,,
Divine Retribution,MI,"« Pour l'œil inattentif, la justice et la vengeance pourraient paraître semblables. »
—Rashida la désquamatrice.",,
Divine Sacrament,OD,Leurs prières chuchotées rassemblaient les nomades comme aucun cri de guerre ne l'aurait pu.,,
Divine Transformation,4E,La lumière et la gloire émanaient d'elle. Toutes choses étaient possible avec la bénédiction de la Divinité.,,
Divine Transformation,5E,La Lumière et la Gloire émaneraient d'elle. Toutes les choses étaient possibles avec la bénédiction de la Divinité.,,
Divine Transformation,6E,La Lumière et la Gloire émanaient d'elle. Toutes choses étaient possibles avec la bénédiction de la Divinité.,,
Divine Transformation,LG,La lumière et la gloire émanaient d'elle. Toutes choses étaient possible avec la bénédiction de la Divinité.,,
Divine Transformation,ME,La lumière et la gloire émanaient d'elle. Toutes choses étaient possible avec la bénédiction de la Divinité.,,
Divine Verdict,M10,Les géants et l'engeance de l'Abîme essayèrent de renverser les piliers de la cathédrale. La poussière fine de leurs cendres tourbillonne encore dans la brise.,,
Divine Verdict,M13,« Coupable. »,,
Divine Verdict,M15,« Coupable. »,,
Divine Verdict,ORI,« Coupable. »,,
Divine Verdict,THS,La dernière chose qui traversa l'esprit du cyclope fut un bloc de marbre de douze tonnes.,,
Diviner Spirit,C13,L'intelligence est son habitat naturel.,,
Diving Griffin,8E,"Aller plus vite que le griffon
—Expression kipamue signifiant
« Réussir l'impossible »",,
Diving Griffin,PY,"Dépasser le griffon.
—Expression kipamùe signifiant « réaliser l'impossible ».",,
Divinity of Pride,C13,"« Elle parla de mystères et de présages, de choses si cryptiques que mon esprit implora pitié. »
—Les paraboles de l'Oracle",,
